"Enabled","Enabled"
"Disabled","Disabled"
"Conditions","Conditions"
"Edit","Edit"
"Delete","Delete"
"Save","Save"
"Force","Force"
"Generate","Generate"
"Url","Url address"
"Filename","Filename"
"Name","Nazwa"
"ID","Id"
"Template","Template"
"Back","Back"
"General","General"
"Feed configuration","Feed configuration"
"Product tabs","Product tabs"
"Product feeds","Product feeds"
"Feed id","Feed id"
"Feeds directory","Feeds directory"
"Products feeds","Products feeds"
"Cron expression","Cron expression"
"Use raw images","Use raw images"
"Conditions (don"t add conditions if rule to applied to all products)","Conditions (don"t add conditions if rule to applied to all products)"
"Generate products feeds","Generate products feeds"
"The feed has been deleted.","The feed has been deleted."
"We can"t find a feed to delete.","We can"t find a feed to delete."
"We can"t find a feed to generate.","We can"t find a feed to generate."
"The feed has been generated.","The feed has been generated."
"Unexpected error occured.","Unexpected error occured."
"Enable Product Feeds Module","Enable Product Feeds Module"
"Enable creation by schedule","Enable creation by schedule"
"In this directory all xml files will be saved. This directory should be free to write.","In this directory all xml files will be saved. This directory should be free to write."
"Enable/Disable cron generation","Enable/Disable cron generation"
"Sample cron expression 0 3 * * * (every day at 3 am)","Sample cron expression 0 3 * * * (every day at 3 am)"
"Delete ${ $.$data.title }","Delete"
"Are you sure you wan"t to do that action on a ${ $.$data.title } record?","Are you sure you wan"t to do that action?"
"Generate ${ $.$data.title }","Generate ${ $.$data.title }"
"Are you sure you wan\"t to do that action on a ${ $.$data.title } record?","Are you sure you wan\"t to do that action?"
"Allowed product attributes: isAvailable","Allowed product attributes: isAvailable"
"File not exists","File not exists"
"Unable to read","Unable to read"
"Last generation","Last generation"
"At minute 0 past every hour","At minute 0 past every hour"
"At minute 0 past every 3rd hour","At minute 0 past every 3rd hour"
"At minute 0 past every 6th hour","At minute 0 past every 6th hour"
"At minute 0 past every 12th hour","At minute 0 past every 12th hour"
"At 10:00 pm","At 10:00 pm"
"At 3:00 am","At 3:00 am"
"At 6:00 am","At 6:00 am"
"At 8:00 am","At 8:00 am"
"At 03:00 on Monday","At 03:00 on Monday"
"At 03:00 on Tuesday","At 03:00 on Tuesday"
"At 03:00 on Wednesday","At 03:00 on Wednesday"
"At 03:00 on Thursday","At 03:00 on Thursday"
"At 03:00 on Friday","At 03:00 on Friday"
"At 03:00 on Saturday","At 03:00 on Saturday"
"At 03:00 on Sunday","At 03:00 on Sunday"
"Generation time","Generation time"
"-- Select template to load --","-- Select template to load --"
" Load template"," Load template"
"Template not exists","Template not exists"
"Generation is disabled by configuration","Generation is disabled by configuration"
"Every minute","Every minute"
"Every 5 minutes","Every 5 minutes"
"Every 10 minutes","Every 10 minutes"
"Every 30 minutes","Every 30 minutes"
"Defines the frequency of running the cron.","Defines the frequency of running the cron."
"-- Please Select a Cron Frequency --","-- Please Select a Cron Frequency --"
"Frequency of generation","Frequency of generation"
"Ceneo API Url for Categories","Ceneo API Url for Categories"
"Url to API with XML for categories.","Url to API with XML for categories."
"Cron frequency","Cron frequency"
"Ceneo Feeds","Ceneo Feeds"
"Feed listing","Feed listing"
"Mapping categories","Mapping categories"
"Mapping Categories","Mapping Categories"
"Add mapping","Add mapping"
"Edit mapping","Edit mapping"
"Exclude categories","Exclude categories"
"Category name","Category name"
"Mapping name","Mapping name"
"Add feed","Add feed"
"Edit feed","Edit feed"
"Ceneo Categories Mapping","Ceneo Categories Mapping"
"-- Please Select a Cron Expressions --","-- Please Select a Cron Expressions --"
"-- Please Select Ceneo Category Mapping --","-- Please Select Ceneo Category Mapping --"
"Conditions (don't add conditions if rule to applied to all products)","Conditions (don't add conditions if rule to applied to all products)"
"Additional attributes","Additional attributes"
"Manufacturer Code Attribute","Manufacturer Code Attribute"
"Manufacturer Attribute","Manufacturer Attribute"
"EAN Attribute","EAN Attribute"
"Available in Buy at Ceneo","Available in Buy at Ceneo"
